<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXCN,D,30/11/10,00:00:00,5346.9600000,5414.6300000,5346.9600000,5385.6700000,175312612
MOEXCN,D,01/12/10,00:00:00,5385.6700000,5444.9100000,5385.6700000,5414.4300000,255465767
MOEXCN,D,02/12/10,00:00:00,5414.1800000,6060.0500000,5413.9000000,6002.1600000,1484303783
MOEXCN,D,03/12/10,00:00:00,6003.5900000,6074.5900000,5913.9200000,6020.4000000,370927275
MOEXCN,D,06/12/10,00:00:00,6020.6300000,6023.5700000,5959.8700000,6022.7100000,357695431
MOEXCN,D,07/12/10,00:00:00,6022.7900000,6075.1400000,6009.5500000,6051.8700000,201717731
MOEXCN,D,08/12/10,00:00:00,6051.9500000,6121.1800000,6016.1500000,6053.2100000,265658691
MOEXCN,D,09/12/10,00:00:00,6053.8700000,6108.1100000,6040.4700000,6080.6100000,307724534
MOEXCN,D,10/12/10,00:00:00,6082.3000000,6219.8400000,6071.4300000,6139.4800000,154138969
MOEXCN,D,13/12/10,00:00:00,6140.0200000,6192.3600000,6130.6500000,6134.9200000,191974847
MOEXCN,D,14/12/10,00:00:00,6134.9200000,6181.1300000,6099.7800000,6164.0300000,185843143
MOEXCN,D,15/12/10,00:00:00,6163.8400000,6217.8400000,6157.5500000,6189.0200000,208009428
MOEXCN,D,16/12/10,00:00:00,6189.0200000,6230.5700000,6151.0200000,6157.8000000,229925630
MOEXCN,D,17/12/10,00:00:00,6157.8000000,6176.1000000,6131.0400000,6135.0500000,227407845
MOEXCN,D,20/12/10,00:00:00,6135.0500000,6149.1800000,6090.5800000,6104.8700000,230736714
MOEXCN,D,21/12/10,00:00:00,6099.0400000,6132.1100000,6073.5200000,6094.9900000,173446502
MOEXCN,D,22/12/10,00:00:00,6095.0200000,6122.7700000,6094.2900000,6099.1500000,206059506
MOEXCN,D,23/12/10,00:00:00,6099.1200000,6100.9300000,6081.4500000,6093.4300000,158094067
MOEXCN,D,24/12/10,00:00:00,6093.7600000,6120.9900000,5964.8500000,6096.9600000,208431510
MOEXCN,D,27/12/10,00:00:00,6097.6500000,6127.1900000,6072.1600000,6072.4800000,82597266
MOEXCN,D,28/12/10,00:00:00,6072.4900000,6074.1500000,6030.8700000,6034.4200000,117919574
